                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.75043,                0.53134,                 1.1341,                0.98428,                0.46996,                 0.5219,                0.41367,                0.82338,                0.51145,                 1.1331,             0.00044576,             0.00044576,             0.00044576
                     40,                0.71523,                0.50484,                 1.0992,                0.98441,                0.46683,                0.53998,                0.42034,                0.83905,                0.52773,                 1.1435,             0.00041275,             0.00041275,             0.00041275
                     41,                0.65315,                 0.4522,                 1.0831,                0.99201,                0.45279,                0.64559,                0.49505,                0.80603,                0.53436,                 1.1258,             0.00037974,             0.00037974,             0.00037974
                     42,                0.64031,                0.41723,                 1.0999,                0.96961,                 0.4643,                0.73073,                0.55506,                 0.8253,                0.52227,                 1.1301,             0.00034674,             0.00034674,             0.00034674
                     43,                0.63509,                0.41369,                 1.0743,                0.97473,                0.45923,                0.65009,                0.48206,                0.84588,                0.50103,                 1.1494,             0.00031373,             0.00031373,             0.00031373
                     44,                0.61339,                0.39008,                 1.0606,                0.97814,                0.46352,                0.98118,                0.78703,                0.80325,                0.48558,                 1.1153,             0.00028072,             0.00028072,             0.00028072
                     45,                0.60011,                0.39217,                 1.0609,                0.97196,                0.46951,                0.98144,                0.73424,                0.81815,                0.49737,                 1.1278,             0.00024772,             0.00024772,             0.00024772
                     46,                0.59114,                0.38352,                 1.0425,                0.98727,                0.45279,                0.97926,                0.63338,                0.83286,                0.49984,                 1.1368,             0.00021471,             0.00021471,             0.00021471
                     47,                0.56374,                0.36243,                 1.0344,                0.98005,                0.46476,                0.98071,                0.63783,                0.82545,                0.50415,                 1.1448,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.5586,                 0.3636,                 1.0281,                 0.9762,                0.45494,                0.97877,                0.63493,                0.79556,                0.50536,                 1.1315,              0.0001487,              0.0001487,              0.0001487
                     49,                0.55791,                0.35952,                 1.0275,                0.98619,                0.45335,                0.97826,                0.68561,                0.78431,                0.50186,                 1.1099,             0.00011569,             0.00011569,             0.00011569
                     50,                0.55026,                0.34545,                 1.0293,                0.98844,                0.45323,                0.97826,                0.68783,                0.78201,                0.49024,                 1.1056,             8.2683e-05,             8.2683e-05,             8.2683e-05
                      1,                  1.285,                 4.0818,                  1.544,                0.00493,                0.90343,                 0.0908,                0.03947,                 1.6789,                 3.4235,                  2.009,             0.00054826,             0.00054826,             0.00054826
                      2,                 1.5321,                 3.9251,                   1.73,                0.55526,                0.06009,                0.02128,                0.00675,                 2.7672,                 3.3808,                 4.4946,              0.0010821,              0.0010821,              0.0010821
                      3,                 1.5939,                 3.2612,                 1.7323,                0.55414,                0.05794,                0.01629,                0.00598,                 2.7019,                 4.1784,                 3.1677,              0.0015939,              0.0015939,              0.0015939
                      4,                 1.6279,                 2.9085,                 1.7715,                0.59054,                0.03863,                0.02853,                0.01224,                 2.4146,                 3.3018,                 2.9931,               0.001568,               0.001568,               0.001568
                      5,                 1.5873,                 2.6532,                 1.7744,                0.57567,                0.08155,                0.03416,                0.01526,                 2.1833,                 3.1494,                 2.4071,               0.001568,               0.001568,               0.001568
                      6,                 1.6213,                 2.5492,                 1.7965,                0.68739,                 0.1588,                0.13011,                 0.0609,                 1.8429,                 2.6513,                 2.1472,               0.001535,               0.001535,               0.001535
                      7,                 1.5668,                  2.379,                 1.7444,                0.63515,                0.12876,                0.08436,                0.04524,                 1.8059,                 2.6192,                 2.1408,               0.001502,               0.001502,               0.001502
                      8,                  1.499,                 2.6255,                  1.702,                0.74935,                 0.2519,                0.21148,                0.11761,                 1.6215,                 2.0632,                 1.9647,               0.001469,               0.001469,               0.001469
                      9,                 1.4351,                 2.2507,                 1.6269,                0.59406,                0.13475,                 0.0808,                0.03734,                 2.1733,                 2.8902,                 2.5887,               0.001436,               0.001436,               0.001436
                     10,                 1.4472,                 2.1964,                 1.6553,                0.15965,                0.11803,                0.08936,                0.05433,                 1.7669,                 3.2706,                 2.0596,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.3789,                 2.0388,                 1.5808,                0.66429,                0.11803,                0.08275,                0.04452,                 1.7966,                 3.1263,                  1.978,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3101,                 1.8774,                 1.5278,                0.28066,                0.10709,                0.11643,                0.05672,                 1.9778,                 3.3056,                 2.3599,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3179,                 1.9175,                 1.5701,                0.21276,                0.07511,                0.07632,                0.04402,                 1.9574,                 3.7403,                 2.0705,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3434,                  1.963,                   1.56,                0.74409,                0.19313,                0.15454,                0.08783,                 1.5203,                 2.5802,                 1.8187,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.2238,                 1.7873,                 1.4934,                0.69532,                0.15451,                0.11542,                0.06634,                 1.6339,                  3.113,                 1.9309,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.2743,                 1.7811,                  1.521,                0.73697,                0.13726,                0.14029,                0.08836,                 1.5651,                 2.8096,                 1.8366,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.2439,                 1.6941,                 1.4915,                0.69007,                0.14378,                0.11744,                0.07243,                 1.8632,                 3.2845,                 2.2153,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.2462,                 1.7554,                 1.5003,                0.74695,                0.19099,                0.18017,                0.10827,                 1.4787,                  2.594,                 1.7797,              0.0011389,              0.0011389,              0.0011389
                     19,                  1.215,                  1.734,                 1.4666,                0.19044,                0.05579,                0.05608,                0.03736,                 1.7266,                 3.7539,                 1.9849,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1609,                 1.5705,                 1.4577,                0.24695,                0.08369,                0.06341,                0.03908,                 1.7395,                 3.8024,                 2.1007,              0.0010729,              0.0010729,              0.0010729
                     21,                  1.159,                 1.5291,                 1.4297,                 0.2818,                0.20172,                0.17831,                0.11642,                 1.4307,                 2.5779,                 1.7475,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.1368,                 1.5225,                 1.4259,                0.24903,                0.20172,                0.17507,                0.10653,                 1.4148,                 2.7178,                 1.7545,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.1518,                 1.4267,                 1.4261,                0.74391,                0.09657,                0.11941,                0.07921,                 1.4062,                 3.2878,                 1.7343,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.1615,                 1.4831,                 1.4338,                0.74714,                0.13734,                0.10877,                0.07102,                 1.5212,                 3.0631,                  1.869,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.1179,                 1.3712,                 1.3982,                0.68177,                0.11159,                0.09088,                0.05846,                 1.6173,                  3.559,                  1.987,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0409,                 1.2977,                 1.3446,                0.25299,                0.11159,                0.12672,                0.08604,                 1.5175,                 3.4021,                 1.8464,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0954,                 1.4499,                 1.3757,                0.24033,                0.16087,                0.13834,                0.09042,                 1.5956,                   2.98,                 1.8947,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.0858,                  1.392,                 1.3728,                0.23618,                0.10086,                0.10838,                0.07296,                 1.4266,                 3.3542,                 1.7275,             0.00080883,             0.00080883,             0.00080883
                      1,                 1.1228,                 1.9454,                  1.377,                0.96944,                0.32965,                0.40265,                0.28351,                 1.0906,                 2.1697,                 1.4227,             0.00054518,             0.00054518,             0.00054518
                      2,                 1.1283,                 1.3921,                  1.372,                0.93392,                0.36481,                 0.4244,                0.27636,                 1.2548,                  1.664,                 1.6725,              0.0010791,              0.0010791,              0.0010791
                      3,                 1.1032,                 1.2265,                 1.3498,                0.81087,                0.29614,                0.34027,                0.20611,                 1.4625,                 1.9184,                 1.7725,              0.0015909,              0.0015909,              0.0015909
                      4,                 1.1138,                 1.1585,                 1.3727,                0.80899,                0.30472,                0.31053,                0.18918,                 1.4029,                 1.9405,                 1.6778,               0.001568,               0.001568,               0.001568
                      5,                 1.1428,                 1.0915,                 1.3785,                 0.7534,                0.25107,                0.28216,                0.14952,                 1.5998,                 2.0498,                 1.8175,               0.001568,               0.001568,               0.001568
                      6,                 1.0747,                0.99624,                 1.3252,                0.95101,                  0.397,                0.44856,                0.31447,                 1.0852,                 1.1603,                 1.3762,               0.001535,               0.001535,               0.001535
                      7,                 1.0508,                0.90922,                  1.329,                0.96672,                0.40558,                0.46209,                0.33526,                 1.0732,                0.90035,                 1.3465,               0.001502,               0.001502,               0.001502
                      8,                 1.0422,                0.87884,                 1.3019,                0.94608,                0.42609,                0.46965,                0.34194,                 0.9874,                0.82735,                 1.2904,               0.001469,               0.001469,               0.001469
                      9,                 1.0593,                0.87236,                 1.2994,                0.92303,                0.40097,                0.44203,                0.30314,                  1.138,                0.96117,                 1.4058,               0.001436,               0.001436,               0.001436
                     10,                  1.005,                0.80039,                 1.2817,                0.95065,                 0.4206,                0.45331,                0.30863,                 1.1213,                 0.8817,                 1.4947,              0.0014029,              0.0014029,              0.0014029
                     11,                0.96982,                0.78909,                 1.2628,                0.96548,                0.43133,                 0.4976,                0.36782,                0.97776,                0.72063,                 1.2692,              0.0013699,              0.0013699,              0.0013699
                     12,                0.96912,                0.74798,                  1.256,                0.98047,                0.42918,                0.46032,                 0.3427,                0.99734,                0.76476,                 1.3075,              0.0013369,              0.0013369,              0.0013369
                     13,                0.98807,                0.74505,                 1.2696,                0.96313,                0.42918,                 0.4858,                0.36243,                 0.9729,                0.72369,                  1.273,              0.0013039,              0.0013039,              0.0013039
                     14,                0.95038,                0.71769,                 1.2556,                0.96456,                0.45001,                0.51358,                0.38008,                0.92047,                0.64433,                 1.2504,              0.0012709,              0.0012709,              0.0012709
                     15,                0.94764,                 0.6997,                 1.2439,                0.96899,                0.45437,                0.48275,                 0.3565,                0.94695,                0.67845,                 1.2665,              0.0012379,              0.0012379,              0.0012379
                     16,                0.92429,                0.70144,                 1.2243,                0.97309,                0.43991,                 0.4939,                0.37378,                0.93157,                0.65761,                 1.2306,              0.0012049,              0.0012049,              0.0012049
                     17,                0.89785,                 0.6463,                 1.2022,                0.94235,                0.39515,                0.45528,                0.34338,                0.95653,                0.87903,                 1.2703,              0.0011719,              0.0011719,              0.0011719
                     18,                0.87243,                0.62651,                 1.1925,                0.95961,                0.43955,                0.50405,                 0.3542,                  1.079,                0.75276,                 1.3443,              0.0011389,              0.0011389,              0.0011389
                     19,                0.89607,                0.65998,                 1.2108,                0.97368,                0.43991,                0.48973,                0.36764,                0.90495,                0.63256,                 1.2228,              0.0011059,              0.0011059,              0.0011059
                     20,                0.90178,                0.63306,                 1.1978,                0.96869,                0.44967,                0.52453,                0.40337,                0.94115,                0.64515,                  1.246,              0.0010729,              0.0010729,              0.0010729
                     21,                0.90304,                0.63016,                  1.199,                0.96112,                0.45816,                0.48173,                0.36288,                0.87356,                0.61457,                 1.1656,              0.0010399,              0.0010399,              0.0010399
                     22,                0.86071,                0.62304,                 1.1947,                0.98159,                0.44902,                0.47882,                0.36734,                0.89327,                0.58867,                  1.223,              0.0010069,              0.0010069,              0.0010069
